name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,season_salary,years_in_the_nba,birthdate,hometown,prior_to_nba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick,rating_bucket,salary_million,position_group,bmi
Nikola Jovic,Serbia,None,Miami Heat,5,PF,C,Inside-Out Scoring Threat,"6'10""",208,240.0,108.0,"7'0""",213.0,,3.0,"June 9, 2003","Leicester, England",Serbia,77,83.0,86.0,70.0,81.0,83.0,85.0,90.0,70.0,68.0,68.0,44.0,72.0,85.0,70.0,80.0,61.0,83.0,30.0,60.0,55.0,60.0,44.0,62.0,90.0,68.0,69.0,70.0,67.0,68.0,65.0,54.0,59.0,62.0,46.0,51.0,60.0,57.0,40.0,50.0,37.0,62.0,90.0,79.0,2448.0,,,,bronze,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,Good,,Wing,24.96301775147929
Nikola Topic,Serbia,None,Oklahoma City Thunder,44,PG,SG,Rim Attacker,"6'7""",201,200.0,90.0,"6'11""",211.0,,1.0,"August 10, 2005","Novi Sad, Serbia","Crvena zvezda (KLS, Serbia)",72,72.0,81.0,69.0,72.0,87.0,60.0,60.0,75.0,79.0,76.0,59.0,69.0,85.0,75.0,80.0,58.0,81.0,40.0,65.0,44.0,57.0,40.0,55.0,85.0,81.0,81.0,86.0,79.0,81.0,76.0,51.0,45.0,63.0,44.0,47.0,60.0,52.0,45.0,40.0,32.0,47.0,60.0,84.0,2401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Guard,22.276676319893078
Nikola Vucevic,Montenegro,None,Chicago Bulls,9,C,None,Inside-Out Scorer,"6'10""",208,260.0,117.0,"7'5""",226.0,,14.0,"October 24, 1990","Morges, Switzerland",Southern California,82,85.0,98.0,79.0,84.0,82.0,80.0,85.0,72.0,62.0,49.0,89.0,45.0,95.0,85.0,77.0,79.0,70.0,75.0,65.0,88.0,84.0,86.0,70.0,90.0,59.0,82.0,35.0,32.0,82.0,64.0,56.0,74.0,41.0,40.0,58.0,73.0,57.0,50.0,75.0,64.0,86.0,90.0,84.0,2650.0,,,,bronze,,,,silver,,silver,,silver,silver,silver,,,,bronze,,silver,,,,,,,,,,,,,,,,silver,bronze,silver,,,Great,,Big,27.043269230769226
Noah Clowney,United States,None,Brooklyn Nets,21,C,PF,Inside-Out Scoring Threat,"6'10""",208,210.0,95.0,"7'2""",218.0,,2.0,"July 14, 2004","Spartanburg, South Carolina",Alabama,74,69.0,49.0,69.0,75.0,84.0,75.0,60.0,75.0,64.0,64.0,64.0,75.0,90.0,85.0,80.0,70.0,72.0,80.0,80.0,60.0,59.0,60.0,65.0,85.0,54.0,57.0,59.0,57.0,68.0,31.0,59.0,68.0,57.0,38.0,60.0,67.0,66.0,55.0,56.0,47.0,65.0,80.0,80.0,2450.0,,,,,,bronze,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,bronze,Good,,Big,21.958210059171595
Norman Powell,United States,None,Miami Heat,24,SG,SF,Shot-Creating 3-Level Threat,"6'4""",193,215.0,97.0,"6'11""",211.0,,10.0,"May 25, 1993","San Diego, California",UCLA,84,86.0,89.0,80.0,86.0,82.0,85.0,95.0,79.0,79.0,83.0,46.0,80.0,92.0,90.0,82.0,56.0,87.0,25.0,80.0,30.0,32.0,28.0,78.0,88.0,69.0,74.0,79.0,77.0,75.0,41.0,64.0,50.0,79.0,56.0,37.0,77.0,74.0,75.0,41.0,31.0,51.0,95.0,87.0,2575.0,silver,bronze,,silver,gold,silver,,,silver,,gold,,,,silver,,,,,,,,silver,,,,,,,,,,,,,,,,silver,,Great,,Guard,26.040967542752828
Obi Toppin,United States,None,Indiana Pacers,1,PF,None,Inside-Out Scoring Threat,"6'9""",206,220.0,99.0,"7'2""",218.0,,5.0,"March 4, 1998","Brooklyn, New York",Dayton Flyers,81,79.0,98.0,53.0,80.0,80.0,80.0,85.0,78.0,70.0,69.0,74.0,90.0,88.0,70.0,88.0,79.0,88.0,85.0,90.0,79.0,67.0,69.0,60.0,90.0,55.0,55.0,60.0,56.0,59.0,44.0,52.0,66.0,48.0,42.0,56.0,62.0,47.0,40.0,59.0,45.0,72.0,95.0,82.0,2582.0,bronze,,,silver,,gold,,,,,gold,,,,silver,bronze,,silver,gold,,,,silver,,,,,silver,,,,,,,,,bronze,,silver,gold,Great,,Wing,23.329248751060423
Ochai Agbaji,United States,None,Toronto Raptors,30,PF,SF,2-Way 3-Level Shot Creator,"6'5""",196,215.0,97.0,"6'10""",208.0,,3.0,"April 20, 2000","Milwaukee, Wisconsin",Kansas,76,75.0,82.0,83.0,83.0,69.0,75.0,60.0,84.0,88.0,88.0,64.0,85.0,90.0,90.0,80.0,62.0,78.0,65.0,80.0,52.0,52.0,52.0,40.0,78.0,62.0,60.0,75.0,78.0,60.0,35.0,66.0,57.0,80.0,43.0,56.0,79.0,75.0,70.0,48.0,42.0,54.0,40.0,79.0,2517.0,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Wing,25.249895876718035
OG Anunoby,United Kingdom,None,New York Knicks,8,SF,PF,2-Way Inside-Out Shot Creator,"6'7""",201,232.0,104.0,"7'2""",218.0,,8.0,"July 17, 1997","London, England",Indiana,85,80.0,75.0,61.0,82.0,80.0,90.0,90.0,82.0,81.0,91.0,68.0,85.0,85.0,85.0,81.0,60.0,75.0,60.0,85.0,38.0,37.0,36.0,60.0,90.0,58.0,58.0,72.0,71.0,52.0,36.0,84.0,81.0,90.0,80.0,62.0,89.0,89.0,95.0,49.0,46.0,52.0,90.0,87.0,2685.0,bronze,,,bronze,,,,,,,,,,,,,,bronze,,,,,bronze,,,gold,gold,bronze,silver,silver,gold,gold,,silver,silver,,,,bronze,silver,Great,,Wing,25.741937080765336
Olivier-Maxence Prosper,Canada,None,Dallas Mavericks,8,PF,SF,Interior Threat,"6'7""",201,230.0,104.0,"7'1""",216.0,,2.0,"July 3, 2002","Montreal, Quebec",Marquette,74,66.0,65.0,68.0,67.0,65.0,70.0,60.0,80.0,79.0,81.0,60.0,88.0,88.0,85.0,80.0,59.0,75.0,40.0,85.0,47.0,45.0,45.0,58.0,80.0,58.0,65.0,60.0,66.0,61.0,37.0,63.0,67.0,74.0,66.0,50.0,64.0,58.0,60.0,65.0,67.0,62.0,90.0,80.0,2458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Wing,25.741937080765336
Onyeka Okongwu,United States,None,Atlanta Hawks,17,C,None,2-Way Inside-The-Arc Menace,"6'10""",208,240.0,108.0,"7'2""",218.0,,5.0,"December 11, 2000","Los Angeles, California",USC,81,84.0,93.0,88.0,74.0,75.0,85.0,90.0,80.0,74.0,74.0,70.0,75.0,88.0,95.0,83.0,71.0,86.0,85.0,85.0,54.0,55.0,57.0,62.0,80.0,52.0,51.0,54.0,60.0,50.0,43.0,67.0,79.0,64.0,43.0,71.0,83.0,65.0,65.0,81.0,77.0,84.0,85.0,84.0,2686.0,,,,,,silver,,,,bronze,silver,,,,bronze,bronze,,,,,,,,,,,,gold,,,,,,,bronze,bronze,gold,silver,,silver,Great,,Big,24.96301775147929
Orlando Robinson,United States,None,Orlando Magic,21,C,None,Stretch Five,"6'10""",208,245.0,110.0,"7'4""",224.0,,3.0,"July 10, 2000","York, Maine",Fresno State,76,78.0,75.0,69.0,76.0,80.0,85.0,80.0,68.0,49.0,49.0,70.0,64.0,80.0,90.0,77.0,62.0,70.0,70.0,60.0,59.0,58.0,59.0,38.0,85.0,47.0,52.0,40.0,35.0,54.0,55.0,53.0,62.0,36.0,38.0,61.0,60.0,54.0,60.0,76.0,80.0,71.0,85.0,77.0,2363.0,,,,,,,,,,bronze,bronze,,,,,,,,,,,,,,,,,,,,,,,,,silver,silver,,,silver,Good,,Big,25.425295857988164
Oscar Tshiebwe,Congo,None,Utah Jazz,34,C,PF,Board-Hunting Paint Protector,"6'8""",203,255.0,115.0,"7'4""",224.0,,2.0,"November 27, 1999","Lubumbashi, Democratic Republic of the Congo",Kentucky,71,55.0,76.0,69.0,37.0,70.0,45.0,30.0,77.0,75.0,67.0,69.0,75.0,80.0,90.0,80.0,62.0,62.0,75.0,75.0,54.0,48.0,48.0,37.0,95.0,43.0,42.0,40.0,39.0,55.0,37.0,55.0,69.0,48.0,31.0,72.0,69.0,40.0,55.0,92.0,94.0,90.0,40.0,75.0,2253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Big,27.906525273605286
Oso Ighodaro,United States,None,Phoenix Suns,4,PF,C,Interior Threat,"6'11""",211,225.0,101.0,"7'3""",221.0,,1.0,"July 14, 2002","Chandler, Arizona",Marquette,74,60.0,95.0,52.0,35.0,56.0,70.0,50.0,81.0,86.0,74.0,64.0,90.0,85.0,85.0,80.0,67.0,74.0,80.0,80.0,60.0,59.0,59.0,40.0,80.0,60.0,68.0,60.0,65.0,69.0,37.0,54.0,62.0,47.0,41.0,63.0,62.0,57.0,45.0,64.0,60.0,67.0,70.0,79.0,2406.0,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,gold,Good,,Wing,22.6859234967768
Ousmane Dieng,France,None,Oklahoma City Thunder,13,PF,SF,Ball Hawk,"6'9""",206,185.0,83.0,"7'1""",216.0,,3.0,"May 21, 2003","Villeneuve-sur-Lot, France",France,74,72.0,76.0,73.0,68.0,65.0,90.0,60.0,78.0,78.0,78.0,62.0,79.0,88.0,80.0,80.0,58.0,69.0,45.0,75.0,45.0,48.0,48.0,47.0,90.0,64.0,69.0,70.0,75.0,70.0,36.0,63.0,67.0,68.0,89.0,62.0,60.0,52.0,45.0,61.0,50.0,71.0,85.0,82.0,2495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Wing,19.558865114525403
Pacome Dadiet,France,None,New York Knicks,4,SF,PF,Perimeter Shot Creator,"6'8""",203,210.0,95.0,"7'0""",213.0,,1.0,"July 27, 2005","Aubagne, France","Ratiopharm Ulm (BBL, Germany)",69,64.0,70.0,76.0,75.0,75.0,50.0,40.0,73.0,78.0,76.0,50.0,65.0,85.0,80.0,80.0,56.0,72.0,40.0,75.0,44.0,46.0,46.0,37.0,90.0,59.0,57.0,75.0,70.0,58.0,34.0,55.0,50.0,69.0,50.0,50.0,65.0,52.0,50.0,48.0,25.0,71.0,50.0,79.0,2255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,Wing,23.053216530369586
Paolo Banchero,United States,Italy,Orlando Magic,5,PF,SF,Shot-Creating 3-Level Threat,"6'10""",208,250.0,113.0,"7'1""",216.0,,3.0,"November 12, 2002","Seattle, Washington",Duke,89,84.0,86.0,79.0,79.0,71.0,90.0,98.0,82.0,80.0,80.0,77.0,83.0,90.0,85.0,80.0,86.0,90.0,75.0,85.0,84.0,84.0,84.0,89.0,95.0,75.0,74.0,76.0,74.0,78.0,73.0,58.0,68.0,66.0,40.0,56.0,64.0,67.0,45.0,62.0,42.0,82.0,95.0,94.0,2858.0,silver,,,bronze,silver,silver,bronze,,gold,bronze,gold,,silver,bronze,gold,silver,,,silver,silver,,,gold,,bronze,,,silver,,,bronze,,,,,,,,bronze,gold,Great,,Wing,26.118713017751478
Pascal Siakam,Cameroon,None,Indiana Pacers,43,PF,C,2-Way Slashing Stretch Four,"6'8""",203,230.0,104.0,"7'3""",221.0,,9.0,"April 2, 1994","Douala, Cameroon",New Mexico State,89,86.0,97.0,82.0,82.0,74.0,85.0,98.0,80.0,76.0,78.0,70.0,79.0,95.0,80.0,82.0,83.0,80.0,80.0,80.0,88.0,88.0,89.0,68.0,90.0,72.0,72.0,79.0,69.0,79.0,61.0,73.0,86.0,79.0,41.0,55.0,86.0,82.0,80.0,61.0,53.0,69.0,80.0,88.0,2900.0,,,,bronze,,bronze,bronze,bronze,gold,,,bronze,bronze,bronze,,bronze,,,bronze,silver,,,silver,,silver,,,bronze,silver,,bronze,bronze,silver,,gold,bronze,,,,silver,Great,,Wing,25.237205464825653
Pat Connaughton,United States,None,Charlotte Hornets,24,SG,SF,Rim Attacker,"6'5""",196,209.0,94.0,"6'9""",206.0,,10.0,"January 6, 1993","Arlington, Massachusetts",Notre Dame,74,67.0,80.0,69.0,72.0,72.0,70.0,40.0,78.0,77.0,78.0,45.0,95.0,80.0,90.0,83.0,57.0,84.0,30.0,86.0,35.0,34.0,30.0,66.0,90.0,68.0,69.0,78.0,65.0,78.0,49.0,60.0,35.0,75.0,32.0,57.0,74.0,75.0,70.0,53.0,43.0,63.0,40.0,77.0,2386.0,bronze,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,Good,,Guard,24.46897126197418
Patrick Williams,United States,None,Chicago Bulls,44,PF,None,Stretch Four,"6'7""",201,215.0,97.0,"6'11""",211.0,,5.0,"August 26, 2001","Charlotte, North Carolina",Florida State,76,71.0,72.0,73.0,77.0,73.0,50.0,80.0,76.0,70.0,74.0,64.0,77.0,88.0,75.0,81.0,56.0,68.0,60.0,65.0,44.0,42.0,40.0,45.0,80.0,59.0,60.0,70.0,64.0,62.0,40.0,65.0,70.0,76.0,41.0,57.0,80.0,65.0,65.0,49.0,40.0,57.0,80.0,82.0,2407.0,bronze,,,gold,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,Good,,Wing,24.009306700329205
Paul George,United States,None,Philadelphia 76ers,8,SF,PF,2-Way Wing Creator,"6'8""",203,220.0,99.0,"6'11""",211.0,,15.0,"May 2, 1990","Palmdale, California",Fresno State,81,77.0,82.0,88.0,80.0,81.0,60.0,70.0,84.0,79.0,87.0,70.0,88.0,95.0,75.0,93.0,66.0,82.0,55.0,85.0,40.0,70.0,75.0,40.0,80.0,78.0,78.0,87.0,79.0,75.0,70.0,78.0,79.0,84.0,86.0,55.0,82.0,80.0,80.0,52.0,35.0,68.0,45.0,90.0,2748.0,silver,bronze,,silver,silver,,bronze,,bronze,,bronze,,,,bronze,,bronze,bronze,,,bronze,bronze,silver,,,silver,bronze,bronze,,silver,bronze,bronze,,silver,,,,,bronze,silver,Great,,Wing,24.023878279016728
Paul Reed,United States,None,Detroit Pistons,7,C,PF,Inside the Arc Threat,"6'9""",206,210.0,95.0,"7'2""",218.0,,5.0,"June 14, 1999","Orlando, Florida",DePaul,74,69.0,79.0,85.0,73.0,79.0,60.0,40.0,69.0,49.0,52.0,62.0,65.0,80.0,95.0,80.0,73.0,69.0,80.0,75.0,70.0,70.0,70.0,64.0,85.0,48.0,48.0,52.0,41.0,44.0,55.0,64.0,69.0,43.0,86.0,87.0,66.0,58.0,40.0,64.0,63.0,64.0,60.0,75.0,2433.0,,,,,,bronze,,,,silver,silver,,silver,,bronze,,,,,,,,bronze,,,,,bronze,,bronze,,,,,,silver,gold,,,gold,Good,,Big,22.38665284192667
Payton Pritchard,United States,None,Boston Celtics,11,PG,None,3-Level Scoring Threat,"6'1""",185,195.0,88.0,"6'4""",193.0,,5.0,"January 28, 1998","Tualatin, Oregon",Oregon Ducks,81,91.0,99.0,80.0,85.0,85.0,98.0,98.0,71.0,75.0,75.0,41.0,66.0,84.0,78.0,81.0,50.0,85.0,25.0,35.0,40.0,46.0,35.0,60.0,75.0,78.0,84.0,82.0,75.0,82.0,65.0,46.0,36.0,60.0,43.0,40.0,60.0,45.0,35.0,49.0,50.0,48.0,98.0,84.0,2433.0,silver,silver,silver,gold,silver,,bronze,,,,,,,,,,,bronze,bronze,,,,,bronze,silver,,,,,,,,,,,,,,,,Great,,Guard,25.712198685171657
Pelle Larsson,Sweden,None,Miami Heat,9,SG,SF,3 & D Threat,"6'5""",196,215.0,97.0,"6'9""",206.0,,1.0,"February 23, 2001","Nacka, Sweden",Arizona,75,75.0,79.0,78.0,78.0,67.0,75.0,75.0,79.0,87.0,80.0,55.0,79.0,85.0,85.0,80.0,56.0,68.0,45.0,75.0,38.0,44.0,42.0,52.0,80.0,59.0,52.0,62.0,74.0,65.0,44.0,57.0,52.0,65.0,66.0,47.0,60.0,57.0,50.0,46.0,45.0,47.0,98.0,77.0,2408.0,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,bronze,,,bronze,,,,,,,,,,,Good,,Guard,25.249895876718035
Pete Nance,United States,None,Milwaukee Bucks,35,PF,C,Stretch Four,"6'10""",208,230.0,104.0,"7'2""",218.0,,2.0,"February 19, 2000","Akron, Ohio",North Carolina,67,65.0,73.0,70.0,84.0,76.0,50.0,35.0,74.0,63.0,57.0,69.0,75.0,85.0,85.0,83.0,64.0,70.0,75.0,75.0,70.0,54.0,60.0,40.0,70.0,47.0,47.0,52.0,49.0,50.0,35.0,54.0,60.0,48.0,50.0,61.0,60.0,60.0,40.0,67.0,64.0,70.0,30.0,78.0,2273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,Wing,24.038461538461537
Peyton Watson,United States,None,Denver Nuggets,8,PF,SF,Versatile Defender,"6'7""",201,200.0,90.0,"6'11""",211.0,,3.0,"September 11, 2002","Beverly Hills, California",UCLA,77,69.0,77.0,49.0,79.0,71.0,80.0,60.0,77.0,77.0,80.0,55.0,82.0,88.0,75.0,80.0,58.0,74.0,60.0,65.0,44.0,42.0,40.0,40.0,95.0,60.0,60.0,70.0,76.0,62.0,33.0,74.0,78.0,78.0,42.0,85.0,80.0,78.0,80.0,47.0,41.0,53.0,70.0,80.0,2479.0,,,,,,,,,,,silver,,,,,,,,,,,,bronze,,,,,gold,,,,,bronze,,,,,,,gold,Good,,Wing,22.276676319893078
PJ Hall,United States,None,Memphis Grizzlies,13,C,PF,Promising Prospect,"6'10""",208,245.0,110.0,"7'2""",218.0,,1.0,"February 21, 2002","Spartanburg, South Carolina",Clemson,68,64.0,75.0,72.0,71.0,78.0,50.0,40.0,75.0,73.0,52.0,70.0,82.0,87.0,80.0,80.0,65.0,68.0,75.0,75.0,60.0,60.0,60.0,49.0,70.0,51.0,48.0,60.0,59.0,52.0,37.0,52.0,55.0,47.0,50.0,60.0,55.0,57.0,40.0,56.0,52.0,60.0,50.0,77.0,2286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,Big,25.425295857988164
P.J. Washington,United States,None,Dallas Mavericks,25,PF,C,Catch & Shoot Ace,"6'7""",201,230.0,104.0,"7'3""",221.0,,6.0,"August 23, 1998","Louisville, Kentucky",Kentucky,81,75.0,81.0,59.0,82.0,74.0,85.0,70.0,77.0,75.0,75.0,68.0,69.0,85.0,85.0,79.0,75.0,75.0,65.0,80.0,68.0,70.0,71.0,74.0,95.0,57.0,55.0,70.0,63.0,60.0,39.0,56.0,62.0,52.0,46.0,67.0,64.0,62.0,40.0,64.0,49.0,79.0,98.0,81.0,2572.0,,,,silver,,gold,,,,gold,silver,,,,silver,,,,,,,,,,,,,,,,,,,,,,bronze,bronze,,gold,Great,,Wing,25.741937080765336
Quentin Grimes,United States,None,Philadelphia 76ers,5,SG,SF,2-Way 3-Level Shot Creator,"6'5""",196,210.0,95.0,"6'8""",203.0,,4.0,"May 8, 2000","Houston, Texas",Kansas,81,82.0,82.0,79.0,84.0,74.0,75.0,95.0,79.0,86.0,86.0,63.0,75.0,85.0,80.0,80.0,60.0,84.0,25.0,70.0,39.0,58.0,42.0,78.0,80.0,74.0,70.0,79.0,79.0,75.0,65.0,67.0,46.0,83.0,53.0,50.0,80.0,78.0,80.0,51.0,41.0,61.0,85.0,85.0,2630.0,gold,bronze,,gold,gold,,bronze,,silver,,,,,,,,,,,,,,,,,bronze,,,,,silver,bronze,,,,,,,silver,bronze,Great,,Guard,24.729279466888798
Quinten Post,Netherlands,None,Golden State Warriors,21,C,None,3-Level Scoring Threat,"7'0""",213,245.0,110.0,"7'4""",224.0,,1.0,"March 21, 2000","Amsterdam, Netherlands",Boston College,77,82.0,94.0,80.0,84.0,86.0,80.0,70.0,60.0,47.0,33.0,70.0,40.0,80.0,70.0,80.0,65.0,69.0,75.0,65.0,67.0,62.0,65.0,40.0,80.0,48.0,59.0,43.0,32.0,60.0,47.0,50.0,62.0,33.0,40.0,63.0,60.0,45.0,50.0,65.0,52.0,77.0,80.0,79.0,2319.0,,,,gold,,,,,,bronze,,bronze,,bronze,,bronze,,bronze,,,,,,,,,,,,,,,,,,silver,bronze,silver,,,Good,,Big,24.245630276179774
Rayan Rupert,France,None,Portland Trail Blazers,21,SG,SF,Rim Attacker,"6'6""",198,185.0,83.0,"7'2""",218.0,,2.0,"May 31, 2004","Strasbourg, France",New Zealand Breakers,72,69.0,63.0,63.0,70.0,75.0,80.0,65.0,73.0,67.0,72.0,52.0,69.0,88.0,85.0,80.0,54.0,82.0,45.0,70.0,40.0,44.0,42.0,40.0,70.0,61.0,68.0,72.0,65.0,68.0,34.0,59.0,53.0,70.0,43.0,45.0,70.0,70.0,65.0,52.0,57.0,46.0,95.0,77.0,2360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Guard,21.17130905009693
RayJ Dennis,United States,None,Indiana Pacers,10,PG,SG,Ball Hawk,"6'2""",188,180.0,81.0,"6'6""",198.0,,1.0,"March 30, 2001",,Baylor,67,66.0,72.0,74.0,73.0,73.0,60.0,45.0,74.0,79.0,80.0,42.0,75.0,85.0,75.0,80.0,48.0,71.0,25.0,55.0,33.0,34.0,33.0,47.0,84.0,69.0,68.0,70.0,79.0,69.0,61.0,54.0,44.0,67.0,68.0,35.0,62.0,55.0,45.0,38.0,32.0,44.0,60.0,72.0,2226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,Guard,22.917609778180175
Reece Beekman,United States,None,Denver Nuggets,4,PG,SG,Steady Playmaker,"6'3""",191,195.0,88.0,"6'7""",201.0,,1.0,"October 8, 2001","Milwaukee, Wisconsin",Virginia,69,61.0,78.0,71.0,62.0,75.0,50.0,30.0,75.0,91.0,88.0,35.0,67.0,82.0,85.0,80.0,40.0,68.0,25.0,25.0,28.0,28.0,30.0,38.0,76.0,73.0,72.0,70.0,80.0,72.0,69.0,62.0,30.0,75.0,76.0,52.0,74.0,60.0,70.0,39.0,37.0,40.0,60.0,74.0,2223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,Guard,24.12214577451276
Reed Sheppard,United States,None,Houston Rockets,15,PG,SG,3 & D Threat,"6'3""",191,180.0,81.0,"6'7""",201.0,,1.0,"June 24, 2004","London, Kentucky",Kentucky,72,68.0,64.0,72.0,76.0,84.0,60.0,50.0,84.0,90.0,89.0,56.0,87.0,93.0,95.0,80.0,53.0,70.0,25.0,70.0,44.0,45.0,40.0,42.0,90.0,72.0,76.0,76.0,84.0,75.0,51.0,68.0,54.0,78.0,63.0,66.0,70.0,77.0,70.0,41.0,40.0,41.0,70.0,81.0,2494.0,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Guard,22.20333872426743
Riley Minix,United States,None,San Antonio Spurs,27,SF,PF,Catch & Shoot Threat,"6'7""",201,230.0,104.0,"6'11""",211.0,,,"September 22, 2000","Vero Beach, Florida",Unknown,67,65.0,69.0,71.0,76.0,83.0,50.0,40.0,70.0,60.0,60.0,58.0,70.0,80.0,80.0,80.0,55.0,62.0,45.0,60.0,54.0,54.0,54.0,40.0,70.0,50.0,54.0,55.0,55.0,54.0,30.0,56.0,55.0,59.0,62.0,47.0,57.0,60.0,50.0,61.0,60.0,62.0,50.0,72.0,2198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,Wing,25.741937080765336
R.J. Barrett,Canada,None,Toronto Raptors,9,SF,SG,2-Way 3-Level Shot Creator,"6'6""",198,214.0,96.0,"6'10""",208.0,,6.0,"July 14, 2000","Toronto, Canada",Duke,82,80.0,84.0,80.0,78.0,65.0,85.0,90.0,83.0,84.0,84.0,76.0,82.0,95.0,80.0,80.0,71.0,88.0,45.0,80.0,52.0,55.0,79.0,80.0,85.0,80.0,79.0,83.0,82.0,84.0,73.0,65.0,58.0,82.0,40.0,47.0,79.0,74.0,75.0,56.0,42.0,70.0,55.0,86.0,2736.0,,,,bronze,,,silver,,bronze,,silver,,,,bronze,,,bronze,bronze,,,bronze,silver,,silver,,,,,,,,,,,,,,,bronze,Great,,Wing,24.487297214569942
Rob Dillingham,United States,None,Minnesota Timberwolves,4,PG,SG,3PT Shot Creator,"6'2""",188,160.0,72.0,"6'6""",198.0,,1.0,"January 4, 2005","Hickory, North Carolina",Kentucky,75,74.0,87.0,60.0,80.0,73.0,75.0,70.0,79.0,91.0,86.0,39.0,85.0,90.0,85.0,80.0,54.0,77.0,30.0,75.0,37.0,39.0,39.0,45.0,90.0,79.0,69.0,90.0,91.0,68.0,75.0,49.0,34.0,63.0,56.0,25.0,57.0,58.0,50.0,41.0,38.0,44.0,80.0,83.0,2414.0,,,,,,,,,,,,,,,,,bronze,,,,bronze,bronze,,,,,,,,,,,,,,,,,,,Good,,Guard,20.37120869171571
Robert Williams III,United States,None,Portland Trail Blazers,35,C,PF,Paint Beast,"6'9""",206,237.0,107.0,"7'6""",229.0,,7.0,"October 17, 1997","Shreveport, Louisiana",Texas A&M,81,66.0,96.0,69.0,25.0,81.0,60.0,65.0,78.0,71.0,64.0,83.0,75.0,80.0,90.0,81.0,69.0,82.0,90.0,75.0,60.0,50.0,65.0,54.0,75.0,48.0,57.0,48.0,38.0,62.0,36.0,76.0,86.0,40.0,53.0,95.0,88.0,85.0,85.0,80.0,74.0,86.0,50.0,83.0,2557.0,,,,,,silver,,,,bronze,,,,,,silver,,,,,,,,,,,,gold,,,,,silver,,bronze,silver,gold,silver,,gold,Great,,Big,25.21444056932793
Rocco Zikarsky,Australia,None,Minnesota Timberwolves,44,C,None,,"7'3""",221,,,,,,0.0,"July 11, 2006","Queensland, Australia",Australia,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,Big,
