Unnamed: 0,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,season_salary,years_in_the_nba,birthdate,hometown,prior_to_nba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick
327,Nae’Qwan Tomlin,United States,Unknown,Cleveland Cavaliers,30,PF,Unknown,Rim Attacker,"6'10""",208,210.0,95.0,"7'1""",216.0,0.0,1.0,"December 10, 2000","Harlem, New York",Memphis,68,63.0,78.0,67.0,74.0,61.0,50.0,50.0,73.0,75.0,70.0,57.0,80.0,80.0,72.0,80.0,57.0,78.0,45.0,80.0,25.0,62.0,45.0,40.0,80.0,60.0,60.0,72.0,65.0,70.0,33.0,57.0,57.0,57.0,57.0,68.0,55.0,62.0,45.0,65.0,67.0,63.0,40.0,71.0,2291.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
328,Naji Marshall,United States,Unknown,Dallas Mavericks,13,PF,SF,Inside the Arc Shot Creator,"6'6""",198,220.0,99.0,"7'1""",216.0,0.0,5.0,"June 24, 1998","Atlantic City, New Jersey",Xavier,81,86.0,97.0,92.0,70.0,84.0,80.0,90.0,72.0,62.0,65.0,67.0,75.0,85.0,70.0,80.0,67.0,86.0,45.0,70.0,60.0,60.0,63.0,69.0,80.0,67.0,67.0,74.0,62.0,71.0,61.0,53.0,52.0,60.0,53.0,37.0,62.0,64.0,40.0,55.0,47.0,62.0,75.0,81.0,2518.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,silver,gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
329,Naz Reid,United States,Unknown,Minnesota Timberwolves,11,C,PF,2-Way 3-Level Scoring Threat,"6'9""",206,264.0,119.0,"7'3""",221.0,0.0,6.0,"August 26, 1999","Asbury Park, New Jersey",LSU,82,77.0,91.0,79.0,82.0,78.0,50.0,80.0,76.0,50.0,54.0,87.0,75.0,88.0,95.0,80.0,80.0,75.0,80.0,80.0,82.0,70.0,82.0,75.0,94.0,56.0,59.0,58.0,49.0,65.0,48.0,67.0,81.0,54.0,41.0,71.0,80.0,65.0,80.0,61.0,47.0,75.0,50.0,84.0,2634.0,bronze,Unknown,Unknown,gold,Unknown,gold,Unknown,bronze,Unknown,gold,gold,Unknown,silver,silver,gold,silver,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,bronze,gold,gold,gold,Unknown,gold
330,Neemias Queta,Portugal,Unknown,Boston Celtics,88,C,Unknown,Interior Threat,"7'0""",213,248.0,112.0,"7'4""",224.0,0.0,4.0,"July 13, 1999","Lisbon, Portugal",Utah State,76,68.0,98.0,57.0,40.0,74.0,80.0,60.0,73.0,59.0,59.0,76.0,65.0,80.0,90.0,80.0,65.0,72.0,75.0,70.0,62.0,60.0,62.0,40.0,75.0,43.0,52.0,38.0,30.0,62.0,31.0,58.0,70.0,45.0,36.0,85.0,70.0,48.0,55.0,70.0,72.0,68.0,85.0,79.0,2360.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,silver,Unknown,Unknown,silver
331,N’Faly Dante,Mali,Unknown,Atlanta Hawks,3,C,PF,Interior Threat,"6'11""",211,230.0,104.0,"7'3""",221.0,0.0,1.0,"October 19, 2001","Bamako, Mali",Oregon,68,45.0,65.0,36.0,25.0,61.0,50.0,30.0,72.0,73.0,48.0,70.0,70.0,70.0,95.0,80.0,63.0,66.0,80.0,80.0,55.0,52.0,55.0,40.0,78.0,37.0,25.0,32.0,57.0,40.0,31.0,58.0,70.0,48.0,37.0,69.0,70.0,60.0,50.0,68.0,67.0,69.0,50.0,76.0,2130.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
332,Nick Richards,Jamaica,Unknown,Phoenix Suns,2,C,Unknown,Inside The Arc Board Hunter,"7'0""",213,245.0,110.0,"7'2""",218.0,0.0,5.0,"November 29, 1997","Kingston, Jamaica",Kentucky,78,67.0,86.0,79.0,25.0,74.0,75.0,65.0,76.0,72.0,70.0,65.0,75.0,81.0,85.0,84.0,64.0,62.0,80.0,80.0,52.0,47.0,52.0,55.0,80.0,38.0,37.0,35.0,49.0,36.0,31.0,60.0,75.0,47.0,32.0,81.0,78.0,40.0,70.0,88.0,86.0,89.0,75.0,79.0,2384.0,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,bronze,bronze,Unknown,bronze,Unknown,bronze,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,bronze
333,Nick Smith Jr.,United States,Unknown,Charlotte Hornets,8,PG,SG,Shot-Creating 3-Level Threat,"6'2""",188,185.0,83.0,"6'8""",203.0,0.0,2.0,"April 18, 2004","Jacksonville, Arkansas",Arkansas,77,81.0,87.0,81.0,77.0,92.0,75.0,75.0,78.0,84.0,84.0,48.0,86.0,89.0,75.0,80.0,57.0,82.0,40.0,80.0,37.0,39.0,38.0,62.0,80.0,73.0,70.0,79.0,84.0,72.0,61.0,45.0,33.0,63.0,32.0,37.0,57.0,50.0,40.0,38.0,30.0,46.0,75.0,83.0,2403.0,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,silver,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
334,Nickeil Alexander-Walker,Canada,Unknown,Atlanta Hawks,9,SG,SF,2-Way 3-Level Shot Creator,"6'5""",196,205.0,92.0,"6'10""",208.0,0.0,6.0,"September 2, 1998","Toronto, Canada",Virginia Tech,79,79.0,83.0,85.0,83.0,77.0,70.0,75.0,76.0,72.0,84.0,60.0,70.0,90.0,75.0,80.0,65.0,88.0,40.0,60.0,54.0,58.0,64.0,67.0,88.0,73.0,75.0,81.0,72.0,76.0,59.0,72.0,52.0,84.0,74.0,55.0,82.0,80.0,80.0,46.0,39.0,52.0,70.0,79.0,2633.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,bronze,silver,bronze,Unknown,Unknown,bronze,bronze,bronze,Unknown,gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
335,Nicolas Batum,France,Unknown,Los Angeles Clippers,33,PF,SF,Stretch Four,"6'8""",203,230.0,104.0,"7'1""",216.0,0.0,17.0,"December 14, 1988","Lisieux, France","Le Mans (Pro A, France)",74,75.0,88.0,79.0,86.0,77.0,60.0,60.0,78.0,68.0,75.0,65.0,82.0,88.0,85.0,83.0,59.0,74.0,55.0,60.0,40.0,63.0,62.0,35.0,85.0,63.0,70.0,71.0,68.0,73.0,35.0,64.0,66.0,73.0,56.0,67.0,68.0,50.0,65.0,52.0,43.0,61.0,40.0,77.0,2453.0,Unknown,Unknown,Unknown,silver,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,silver,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown
336,Nic Claxton,United States,U.S. Virgin Islands,Brooklyn Nets,33,C,Unknown,2-Way Interior Threat,"6'11""",211,215.0,97.0,"7'3""",221.0,0.0,6.0,"April 17, 1999","Greenville, South Carolina",Georgia,81,62.0,82.0,69.0,64.0,52.0,65.0,40.0,79.0,69.0,77.0,71.0,79.0,90.0,89.0,80.0,72.0,75.0,80.0,75.0,72.0,64.0,72.0,55.0,80.0,47.0,40.0,49.0,44.0,48.0,53.0,77.0,89.0,79.0,46.0,86.0,90.0,64.0,85.0,75.0,67.0,83.0,60.0,85.0,2568.0,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,gold,bronze,Unknown,Unknown,Unknown,gold,Unknown,gold,silver,silver,Unknown,Unknown,gold
337,Nikola Jokic,Serbia,Unknown,Denver Nuggets,15,C,Unknown,2-Way 3-Level Point Center,"6'11""",211,284.0,128.0,"7'3""",221.0,0.0,11.0,"February 19, 1995","Sombor, Serbia",Serbia,98,91.0,99.0,98.0,86.0,81.0,85.0,98.0,78.0,63.0,62.0,96.0,63.0,97.0,80.0,83.0,91.0,91.0,90.0,75.0,94.0,95.0,98.0,98.0,90.0,85.0,93.0,76.0,60.0,98.0,97.0,74.0,83.0,61.0,70.0,56.0,83.0,82.0,80.0,88.0,81.0,95.0,75.0,99.0,3111.0,gold,gold,Unknown,gold,gold,Unknown,hof,gold,silver,hof,gold,gold,gold,hof,Unknown,gold,Unknown,gold,gold,hof,Unknown,Unknown,gold,Unknown,hof,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,silver,gold,bronze,gold,Unknown,bronze
338,Nikola Jovic,Serbia,Unknown,Miami Heat,5,PF,C,Inside-Out Scoring Threat,"6'10""",208,240.0,108.0,"7'0""",213.0,0.0,3.0,"June 9, 2003","Leicester, England",Serbia,77,83.0,86.0,70.0,81.0,83.0,85.0,90.0,70.0,68.0,68.0,44.0,72.0,85.0,70.0,80.0,61.0,83.0,30.0,60.0,55.0,60.0,44.0,62.0,90.0,68.0,69.0,70.0,67.0,68.0,65.0,54.0,59.0,62.0,46.0,51.0,60.0,57.0,40.0,50.0,37.0,62.0,90.0,79.0,2448.0,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze
339,Nikola Topic,Serbia,Unknown,Oklahoma City Thunder,44,PG,SG,Rim Attacker,"6'7""",201,200.0,90.0,"6'11""",211.0,0.0,1.0,"August 10, 2005","Novi Sad, Serbia","Crvena zvezda (KLS, Serbia)",72,72.0,81.0,69.0,72.0,87.0,60.0,60.0,75.0,79.0,76.0,59.0,69.0,85.0,75.0,80.0,58.0,81.0,40.0,65.0,44.0,57.0,40.0,55.0,85.0,81.0,81.0,86.0,79.0,81.0,76.0,51.0,45.0,63.0,44.0,47.0,60.0,52.0,45.0,40.0,32.0,47.0,60.0,84.0,2401.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
340,Nikola Vucevic,Montenegro,Unknown,Chicago Bulls,9,C,Unknown,Inside-Out Scorer,"6'10""",208,260.0,117.0,"7'5""",226.0,0.0,14.0,"October 24, 1990","Morges, Switzerland",Southern California,82,85.0,98.0,79.0,84.0,82.0,80.0,85.0,72.0,62.0,49.0,89.0,45.0,95.0,85.0,77.0,79.0,70.0,75.0,65.0,88.0,84.0,86.0,70.0,90.0,59.0,82.0,35.0,32.0,82.0,64.0,56.0,74.0,41.0,40.0,58.0,73.0,57.0,50.0,75.0,64.0,86.0,90.0,84.0,2650.0,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,silver,Unknown,silver,Unknown,silver,silver,silver,Unknown,Unknown,Unknown,bronze,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,bronze,silver,Unknown,Unknown
341,Noah Clowney,United States,Unknown,Brooklyn Nets,21,C,PF,Inside-Out Scoring Threat,"6'10""",208,210.0,95.0,"7'2""",218.0,0.0,2.0,"July 14, 2004","Spartanburg, South Carolina",Alabama,74,69.0,49.0,69.0,75.0,84.0,75.0,60.0,75.0,64.0,64.0,64.0,75.0,90.0,85.0,80.0,70.0,72.0,80.0,80.0,60.0,59.0,60.0,65.0,85.0,54.0,57.0,59.0,57.0,68.0,31.0,59.0,68.0,57.0,38.0,60.0,67.0,66.0,55.0,56.0,47.0,65.0,80.0,80.0,2450.0,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,bronze
342,Norman Powell,United States,Unknown,Miami Heat,24,SG,SF,Shot-Creating 3-Level Threat,"6'4""",193,215.0,97.0,"6'11""",211.0,0.0,10.0,"May 25, 1993","San Diego, California",UCLA,84,86.0,89.0,80.0,86.0,82.0,85.0,95.0,79.0,79.0,83.0,46.0,80.0,92.0,90.0,82.0,56.0,87.0,25.0,80.0,30.0,32.0,28.0,78.0,88.0,69.0,74.0,79.0,77.0,75.0,41.0,64.0,50.0,79.0,56.0,37.0,77.0,74.0,75.0,41.0,31.0,51.0,95.0,87.0,2575.0,silver,bronze,Unknown,silver,gold,silver,Unknown,Unknown,silver,Unknown,gold,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown
343,Obi Toppin,United States,Unknown,Indiana Pacers,1,PF,Unknown,Inside-Out Scoring Threat,"6'9""",206,220.0,99.0,"7'2""",218.0,0.0,5.0,"March 4, 1998","Brooklyn, New York",Dayton Flyers,81,79.0,98.0,53.0,80.0,80.0,80.0,85.0,78.0,70.0,69.0,74.0,90.0,88.0,70.0,88.0,79.0,88.0,85.0,90.0,79.0,67.0,69.0,60.0,90.0,55.0,55.0,60.0,56.0,59.0,44.0,52.0,66.0,48.0,42.0,56.0,62.0,47.0,40.0,59.0,45.0,72.0,95.0,82.0,2582.0,bronze,Unknown,Unknown,silver,Unknown,gold,Unknown,Unknown,Unknown,Unknown,gold,Unknown,Unknown,Unknown,silver,bronze,Unknown,silver,gold,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,silver,gold
344,Ochai Agbaji,United States,Unknown,Toronto Raptors,30,PF,SF,2-Way 3-Level Shot Creator,"6'5""",196,215.0,97.0,"6'10""",208.0,0.0,3.0,"April 20, 2000","Milwaukee, Wisconsin",Kansas,76,75.0,82.0,83.0,83.0,69.0,75.0,60.0,84.0,88.0,88.0,64.0,85.0,90.0,90.0,80.0,62.0,78.0,65.0,80.0,52.0,52.0,52.0,40.0,78.0,62.0,60.0,75.0,78.0,60.0,35.0,66.0,57.0,80.0,43.0,56.0,79.0,75.0,70.0,48.0,42.0,54.0,40.0,79.0,2517.0,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
345,OG Anunoby,United Kingdom,Unknown,New York Knicks,8,SF,PF,2-Way Inside-Out Shot Creator,"6'7""",201,232.0,104.0,"7'2""",218.0,0.0,8.0,"July 17, 1997","London, England",Indiana,85,80.0,75.0,61.0,82.0,80.0,90.0,90.0,82.0,81.0,91.0,68.0,85.0,85.0,85.0,81.0,60.0,75.0,60.0,85.0,38.0,37.0,36.0,60.0,90.0,58.0,58.0,72.0,71.0,52.0,36.0,84.0,81.0,90.0,80.0,62.0,89.0,89.0,95.0,49.0,46.0,52.0,90.0,87.0,2685.0,bronze,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,gold,gold,bronze,silver,silver,gold,gold,Unknown,silver,silver,Unknown,Unknown,Unknown,bronze,silver
346,Olivier-Maxence Prosper,Canada,Unknown,Dallas Mavericks,8,PF,SF,Interior Threat,"6'7""",201,230.0,104.0,"7'1""",216.0,0.0,2.0,"July 3, 2002","Montreal, Quebec",Marquette,74,66.0,65.0,68.0,67.0,65.0,70.0,60.0,80.0,79.0,81.0,60.0,88.0,88.0,85.0,80.0,59.0,75.0,40.0,85.0,47.0,45.0,45.0,58.0,80.0,58.0,65.0,60.0,66.0,61.0,37.0,63.0,67.0,74.0,66.0,50.0,64.0,58.0,60.0,65.0,67.0,62.0,90.0,80.0,2458.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
347,Onyeka Okongwu,United States,Unknown,Atlanta Hawks,17,C,Unknown,2-Way Inside-The-Arc Menace,"6'10""",208,240.0,108.0,"7'2""",218.0,0.0,5.0,"December 11, 2000","Los Angeles, California",USC,81,84.0,93.0,88.0,74.0,75.0,85.0,90.0,80.0,74.0,74.0,70.0,75.0,88.0,95.0,83.0,71.0,86.0,85.0,85.0,54.0,55.0,57.0,62.0,80.0,52.0,51.0,54.0,60.0,50.0,43.0,67.0,79.0,64.0,43.0,71.0,83.0,65.0,65.0,81.0,77.0,84.0,85.0,84.0,2686.0,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,bronze,silver,Unknown,Unknown,Unknown,bronze,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,bronze,gold,silver,Unknown,silver
348,Orlando Robinson,United States,Unknown,Orlando Magic,21,C,Unknown,Stretch Five,"6'10""",208,245.0,110.0,"7'4""",224.0,0.0,3.0,"July 10, 2000","York, Maine",Fresno State,76,78.0,75.0,69.0,76.0,80.0,85.0,80.0,68.0,49.0,49.0,70.0,64.0,80.0,90.0,77.0,62.0,70.0,70.0,60.0,59.0,58.0,59.0,38.0,85.0,47.0,52.0,40.0,35.0,54.0,55.0,53.0,62.0,36.0,38.0,61.0,60.0,54.0,60.0,76.0,80.0,71.0,85.0,77.0,2363.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,silver,Unknown,Unknown,silver
349,Oscar Tshiebwe,Congo,Unknown,Utah Jazz,34,C,PF,Board-Hunting Paint Protector,"6'8""",203,255.0,115.0,"7'4""",224.0,0.0,2.0,"November 27, 1999","Lubumbashi, Democratic Republic of the Congo",Kentucky,71,55.0,76.0,69.0,37.0,70.0,45.0,30.0,77.0,75.0,67.0,69.0,75.0,80.0,90.0,80.0,62.0,62.0,75.0,75.0,54.0,48.0,48.0,37.0,95.0,43.0,42.0,40.0,39.0,55.0,37.0,55.0,69.0,48.0,31.0,72.0,69.0,40.0,55.0,92.0,94.0,90.0,40.0,75.0,2253.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
350,Oso Ighodaro,United States,Unknown,Phoenix Suns,4,PF,C,Interior Threat,"6'11""",211,225.0,101.0,"7'3""",221.0,0.0,1.0,"July 14, 2002","Chandler, Arizona",Marquette,74,60.0,95.0,52.0,35.0,56.0,70.0,50.0,81.0,86.0,74.0,64.0,90.0,85.0,85.0,80.0,67.0,74.0,80.0,80.0,60.0,59.0,59.0,40.0,80.0,60.0,68.0,60.0,65.0,69.0,37.0,54.0,62.0,47.0,41.0,63.0,62.0,57.0,45.0,64.0,60.0,67.0,70.0,79.0,2406.0,Unknown,Unknown,Unknown,Unknown,Unknown,gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,gold
351,Ousmane Dieng,France,Unknown,Oklahoma City Thunder,13,PF,SF,Ball Hawk,"6'9""",206,185.0,83.0,"7'1""",216.0,0.0,3.0,"May 21, 2003","Villeneuve-sur-Lot, France",France,74,72.0,76.0,73.0,68.0,65.0,90.0,60.0,78.0,78.0,78.0,62.0,79.0,88.0,80.0,80.0,58.0,69.0,45.0,75.0,45.0,48.0,48.0,47.0,90.0,64.0,69.0,70.0,75.0,70.0,36.0,63.0,67.0,68.0,89.0,62.0,60.0,52.0,45.0,61.0,50.0,71.0,85.0,82.0,2495.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
352,Pacome Dadiet,France,Unknown,New York Knicks,4,SF,PF,Perimeter Shot Creator,"6'8""",203,210.0,95.0,"7'0""",213.0,0.0,1.0,"July 27, 2005","Aubagne, France","Ratiopharm Ulm (BBL, Germany)",69,64.0,70.0,76.0,75.0,75.0,50.0,40.0,73.0,78.0,76.0,50.0,65.0,85.0,80.0,80.0,56.0,72.0,40.0,75.0,44.0,46.0,46.0,37.0,90.0,59.0,57.0,75.0,70.0,58.0,34.0,55.0,50.0,69.0,50.0,50.0,65.0,52.0,50.0,48.0,25.0,71.0,50.0,79.0,2255.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
353,Paolo Banchero,United States,Italy,Orlando Magic,5,PF,SF,Shot-Creating 3-Level Threat,"6'10""",208,250.0,113.0,"7'1""",216.0,0.0,3.0,"November 12, 2002","Seattle, Washington",Duke,89,84.0,86.0,79.0,79.0,71.0,90.0,98.0,82.0,80.0,80.0,77.0,83.0,90.0,85.0,80.0,86.0,90.0,75.0,85.0,84.0,84.0,84.0,89.0,95.0,75.0,74.0,76.0,74.0,78.0,73.0,58.0,68.0,66.0,40.0,56.0,64.0,67.0,45.0,62.0,42.0,82.0,95.0,94.0,2858.0,silver,Unknown,Unknown,bronze,silver,silver,bronze,Unknown,gold,bronze,gold,Unknown,silver,bronze,gold,silver,Unknown,Unknown,silver,silver,Unknown,Unknown,gold,Unknown,bronze,Unknown,Unknown,silver,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,gold
